ciptd,cipsd,cipm,dcptd,dcpsd,dcpm,rllsd,rlltd,sfr,sft,dcpd(dependent)
2,3,10,0.01999855,0.059997559,0.360002518,0,0,-34.47091245,-8.154784916,0.020000458
3,3,0,8.61000061,9.450004578,1.119995117,4,5,-34.47091245,-8.154784916,-3.560005188
1,-1,-1,0,-0.029999912,0.100000113,0,0,-34.47091245,-8.154784916,-0.050000012
3,3,3,0.460000038,0.521000147,-0.56899929,0,0,-34.47091245,-8.154784916,-0.260000229
1,3,4,1.149999619,2.079999924,2.509998322,2,2,-34.47091245,-8.154784916,-0.399999619
3,1,2,0.110000014,-0.070000052,0.059999943,0,0,-34.47091245,-8.154784916,-0.059999943
3,5,2,0.072000027,0.114000142,0.032999992,0,0,-34.47091245,-8.154784916,-0.070000052
1,1,1,-0.010000229,0.17000103,-0.422396663,0,0,-34.47091245,-8.154784916,-0.010000229
3,3,0,0.116999984,0.154999971,-0.092000127,0,0,-34.47091245,-8.154784916,-0.118999958
3,3,0,2.829998016,2.649993896,0.080007553,2,2,-34.47091245,-8.154784916,-0.430000305
3,5,-6,5.100002289,8.409999847,-7.109998703,4,9,-34.47091245,-8.154784916,-0.349998474
-1,-5,-17,-0.013000011,-0.145999968,-0.644000053,0,0,-34.47091245,-8.154784916,-0.045000017
3,5,4,0.130000114,0.150000095,0.060000062,0,0,-34.47091245,-8.154784916,-0.110000134
1,-1,-15,2.38E-07,-0.099999666,-0.829999447,0,0,-34.47091245,-8.154784916,0.059999943
3,3,2,6.930007935,6.270011902,3.420013428,0,0,-34.47091245,-8.154784916,-0.959999084
1,3,4,0.210000992,0.38999939,0.568114198,0,0,-34.47091245,-8.154784916,-0.180000305
-1,1,-4,-0.529999733,0.340001106,-1.700001717,0,0,-34.47091245,-8.154784916,-0.570000648
1,1,-2,0.900009155,4.289993286,-10.4800415,0,0,-34.47091245,-8.154784916,-4.13999939
1,3,0,0.050000191,0.409999847,-0.736560981,0,0,-34.47091245,-8.154784916,-0.160000324
1,-1,2,2.120002747,-0.599995613,1.459996223,0,0,-34.47091245,-8.154784916,-1.86000061
-1,-3,-7,0,-0.100000024,0.00999999,0,0,-34.47091245,-8.154784916,-0.019999981
1,1,7,0.023000002,0.025999963,0.134999871,0,0,-34.47091245,-8.154784916,-0.01700002
3,1,-2,4.36000061,3.799987793,-2.417503713,0,0,-34.47091245,-8.154784916,0.460006714
2,6,5,0.289999962,0.48999989,0.137999892,0,0,-34.47091245,-8.154784916,-0.149999976
3,5,8,4.04000473,4.730003357,0.19289968,0,3,-34.47091245,-8.154784916,-0.760002136
3,-1,-12,1.589996338,-0.520004272,-8.089992523,0,0,-34.47091245,-8.154784916,-0.529998779
1,1,12,-1.520019531,-4.029998779,84.67492676,1,2,-34.47091245,-8.154784916,-11.45001221
3,1,2,0.710000992,0.699999809,-0.414836183,0,0,-34.47091245,-8.154784916,-0.010000229
-1,1,-2,-0.059999466,0.190000534,0.350001335,0,0,-34.47091245,-8.154784916,-0.260000229
1,3,0,0.640000343,0.790000916,-0.029999256,0,0,-34.47091245,-8.154784916,-0.179999828
-1,1,1,-0.430000305,0.540000916,1.419998169,0,0,-34.47091245,-8.154784916,-0.75
3,5,2,1.099998474,1.449995041,-0.360010147,0,0,-34.47091245,-8.154784916,-0.350000381
-3,-2,-6,-0.459999561,-0.289999723,-0.639999866,0,0,-34.47091245,-8.154784916,0.110000134
2,0,3,0.239997864,0.449996948,5.909980774,0,0,-34.47091245,-8.154784916,0
1,-1,0,1.010000229,0.98000145,3.040000916,0,0,-34.47091245,-8.154784916,-0.260000229
1,1,-5,0.159999847,0.249999523,-1.439999104,0,0,-34.47091245,-8.154784916,-0.089999676
3,1,-3,0.930000305,1.190002441,-0.710000992,0,0,-34.47091245,-8.154784916,-0.209999084
-1,-3,1,-1.090000153,-1.189998627,3.594999313,0,0,-34.47091245,-8.154784916,-1.340000153
3,3,0,0.550000191,0.368319693,-0.114329819,0,0,-34.47091245,-8.154784916,-0.050000191
3,5,2,0.539999008,0.759998322,0.024999619,1,1,-34.47091245,-8.154784916,-0.259999275
3,1,-1,0.029999971,-0.007000029,-0.042000055,0,0,-34.47091245,-8.154784916,0.004999995
-1,-1,2,0.049999237,0.110004425,2.61000824,0,0,-34.47091245,-8.154784916,0.680000305
3,3,6,6.609996796,5.099994659,12.72999191,0,0,-34.47091245,-8.154784916,-4.549999237
3,5,5,6.36000061,9.540000916,3.470001221,0,0,-34.47091245,-8.154784916,-0.86000061
3,3,6,2.139995575,2.439994812,12.70998955,0,0,-34.47091245,-8.154784916,-1.970001221
3,5,4,2.790000916,2.259998322,1.514993668,0,0,-34.47091245,-8.154784916,-1.850000381
3,3,-2,0.809999466,0.789999008,-0.369995117,0,0,-34.47091245,-8.154784916,-0.130001068
3,7,1,0.909999371,1.63999939,1.099998474,0,0,-34.47091245,-8.154784916,-0.390000343
3,3,0,6.650001526,6.620002747,8.399993896,0,0,-34.47091245,-8.154784916,-2.130004883
1,5,0,3.190010071,5.190010071,4.640014648,2,4,-34.47091245,-8.154784916,-0.599998474
3,1,-4,2.790000916,2.590003967,-6.139993668,0,0,-34.47091245,-8.154784916,-0.729999542
1,1,0,0.630001068,0.620000839,2.599998474,0,0,-34.47091245,-8.154784916,-0.289999008
-3,-3,-8,-0.049000025,-0.063000023,-0.236999959,0,0,-34.47091245,-8.154784916,0
1,2,-3,0.00999999,0.029999971,-0.140000224,0,0,-34.47091245,-8.154784916,-0.00999999
3,5,6,0.180000067,0.25999999,0.32000041,0,0,-34.47091245,-8.154784916,-0.119999886
3,5,0,47.27999878,78.61999512,39.22009277,1,4,-34.47091245,-8.154784916,-8.149963379
3,-1,4,2.739997864,-1.300003052,5.889976501,0,0,-34.47091245,-8.154784916,-1.629997253
3,5,6,3.069999695,4.969997406,9.394168864,0,0,-34.47091245,-8.154784916,0.450000763
1,-1,-3,0.819999695,-0.119999886,-6.18999958,0,4,-34.47091245,-8.154784916,-0.75
1,5,10,1.170000076,2.460000038,2.20000267,0,0,-34.47091245,-8.154784916,-0.509999275
-1,3,8,0,0.264999926,0.372000098,0,0,-34.47091245,-8.154784916,0.034999967
-3,-3,-6,-4.129989624,0.849990845,-3.779968262,0,0,-34.47091245,-8.154784916,1.199996948
1,-1,0,0.220000267,0.250000477,0.150000095,0,0,-34.47091245,-8.154784916,0.059999943
-2,-2,-5,-0.030000001,-0.030000031,-0.060000002,0,0,-34.47091245,-8.154784916,-0.00999999
1,1,-2,2.689998627,3.459999084,1.269996643,0,0,-34.47091245,-8.154784916,-1.260002136
1,-1,4,0.079999924,0.070001125,-0.059999943,0,0,-34.47091245,-8.154784916,-0.049999714

