ciptd,cipsd,cipm,dcptd,dcpsd,dcpm,rllsd,rlltd,sfr,sft,dcpd(dependent)
-1,-1,4,0.879999161,0.829999924,1.169996262,0,0,-33.47091245,-8.176444773,1.629999161
3,3,4,0.179999948,0.199999928,0.509999871,0,0,-33.47091245,-8.154784916,-0.099999905
3,5,10,19.02996826,20.3699646,33.11001587,0,0,-34.47091245,-8.154784916,-8.130004883
-1,-1,0,0.409996033,2.599998474,7.379997253,0,0,-34.47091245,-8.154784916,0.130004883
-1,-3,0,-0.320000172,-1.56000042,0.910000801,0,0,-34.47091245,-8.154784916,-0.239999771
3,3,3,0.150000095,0.169999599,-0.130000114,0,0,-34.47091245,-8.154784916,-0.059999943
3,5,4,8.800003052,17.6000061,7.540008545,0,2,-34.47091245,-8.154784916,-2.38999939
-3,-3,-8,-0.579999924,-0.559999943,-0.789999843,0,0,-34.47091245,-8.154784916,-0.069999993
3,3,-6,2.209999084,2.459999084,-11.2600174,0,0,-34.47091245,-8.154784916,-0.160003662
1,2,8,0.119999886,0.009999752,0.5,2,2,-34.47091245,-8.154784916,-0.079999924
-1,-2,6,-0.060000002,-0.080000013,0.179999888,0,0,-34.47091245,-8.154784916,-0.019999981
3,3,2,1.600002289,0.870004654,-2.29999733,0,1,-34.47091245,-8.154784916,-0.700000763
1,3,2,4.639984131,7.049987793,8.434154333,0,0,-34.47091245,-8.154784916,1.229995728
1,1,7,0.25,-0.290000916,3.884999752,0,0,-34.47091245,-8.154784916,-1.080000877
3,5,-2,16.88000488,21.76002502,-1.279968262,0,0,-34.47091245,-8.154784916,-3.240005493
3,4,0,0.340000153,0.5,0.064703053,0,0,-34.47091245,-8.154784916,-0.149999619
3,5,3,2.680000305,4.219999313,5.690002441,0,0,-34.47091245,-8.154784916,0.069999695
1,3,10,5.020004272,8.880012512,20.29000854,0,2,-34.47091245,-8.154784916,-1.330001831
1,1,-3,0.299999714,0.449999094,0.499997377,0,0,-34.47091245,-8.154784916,-0.170000076
2,2,12,0.080000043,-0.0200001,0.846000016,0,2,-34.47091245,-8.154784916,-0.129999995
-1,-3,-13,0.201999962,0.050999939,-1.014000118,0,0,-34.47091245,-8.154784916,0.24000001
-3,-3,7,-0.204999685,-0.379999876,1.531000853,0,0,-34.47091245,-8.154784916,-0.200000286
2,4,-1,0.720001221,1.650001526,-3.250011444,0,0,-34.47091245,-8.154784916,-0.189998627
-1,-1,0,-0.240005493,0.349998474,-2.480018616,0,0,-34.47091245,-8.154784916,0.669998169
1,3,1,0.020000458,0.050000906,-0.149998903,0,0,-34.47091245,-8.154784916,-0.010000229
3,6,3,3.070000648,4.029999733,3.199998856,0,0,-34.47091245,-8.154784916,-0.68999958
3,5,6,8.41999054,10.70998383,7.139961243,0,0,-34.47091245,-8.154784916,-2.459999084
3,3,2,1.640003204,0.910003662,-1.660003662,0,1,-34.47091245,-8.154784916,-0.269996643
1,1,-8,-1.529998779,-1.499992371,-6.699981689,1,1,-34.47091245,-8.154784916,-1.690002441
-1,3,0,0.029999971,0.139999866,0.039999723,0,0,-34.47091245,-8.154784916,-0.0200001
3,3,3,0.569998741,0.619998932,0.637595116,0,2,-34.47091245,-8.154784916,0.029999733
-1,1,2,-1.520004272,-0.099998474,-6.479995728,1,1,-34.47091245,-8.154784916,0.809997559
3,5,3,3.050003052,4.110004425,-0.640014648,0,1,-34.47091245,-8.154784916,-1.189998627
-1,-1,5,-0.259999752,-0.180000305,3.13999939,0,0,-34.47091245,-8.154784916,-0.28000021
-1,0,2,-0.510000229,-0.589998245,-0.059995651,1,1,-34.47091245,-8.154784916,-0.310001373
3,5,7,0.074999928,0.115999818,0.379999757,0,0,-34.47091245,-8.154784916,0.030000091
-1,-3,2,0.070000648,0.030001163,1.61000061,0,0,-34.47091245,-8.154784916,-0.569999695
-2,-1,-5,-0.169999853,-0.149999842,-0.149999827,0,0,-34.47091245,-8.154784916,0.539999962
1,-3,-6,2.330001831,-3.268886317,-3.746952507,0,0,-34.47091245,-8.154784916,-2.239990234
3,4,7,0.419999957,0.562999845,0.902999878,0,0,-34.47091245,-8.154784916,0
3,3,-2,0.450000763,-0.369998932,-1.88999176,0,2,-34.47091245,-8.154784916,0.059997559
3,1,5,0.229999781,0.089999676,0.409999371,0,0,-34.47091245,-8.154784916,-0.129999876
3,7,8,5.496002197,7.416002274,11.14600754,0,0,-34.47091245,-8.154784916,-2.635000229
3,5,14,0.309283906,0.368853466,0.668410885,0,0,-34.47091245,-8.154784916,0
1,3,2,0.38999939,0.940000534,-0.809999466,0,0,-34.47091245,-8.154784916,-0.390000343
-1,-1,-6,-0.409999847,0.119999886,-0.460000515,2,2,-34.47091245,-8.154784916,-0.150000095
