,name_of_stock,cipd(dependent),ciptd,cipsd,cipm,dcpd(dependent),dcptd,dcpsd,dcpm,rllsd,rlltd,sfr,sft
201,AME,-1,3,5,2,-0.80999755859375,5.0099945068359375,5.589988708496094,1.3825479193152574,4,4,-34.4709124534109,-8.154784915679148
202,AMED,1,1,3,10,0.8600006103515625,4.6100006103515625,9.279991149902344,37.859962463378906,0,2,-34.4709124534109,-8.154784915679148
203,AMEH,-1,3,3,9,-1.5900001525878906,7.030002593994141,5.9600067138671875,18.470001220703125,0,0,-34.4709124534109,-8.154784915679148
204,AMG,-1,3,5,2,-1.5900039672851562,5.390007019042969,6.05999755859375,0.24999237060546875,0,2,-34.4709124534109,-8.154784915679148
205,AMGN,-1,1,3,-2,-0.850006103515625,0.3300018310546875,-1.790008544921875,-1.3900146484375,0,0,-34.4709124534109,-8.154784915679148
206,AMH,-1,1,3,8,-0.15000152587890625,0.4900016784667969,1.4599990844726562,0.5063420711356201,0,5,-34.4709124534109,-8.154784915679148
207,AMK,-1,3,5,2,-0.14999961853027344,1.1999988555908203,1.1799983978271484,-0.8600025177001953,0,2,-34.4709124534109,-8.154784915679148
208,AMKR,-1,3,5,2,-0.4099998474121094,1.6000003814697266,1.9699983596801758,-0.8300018310546875,0,2,-34.4709124534109,-8.154784915679148
209,AMN,-1,3,5,8,-11.220001220703125,2.7799911499023438,10.329986572265625,25.959991455078125,0,0,-34.4709124534109,-8.154784915679148
210,AMNB,-1,1,2,1,-0.720001220703125,0.4699974060058594,1.0499954223632812,0.1100006103515625,0,0,-34.4709124534109,-8.154784915679148
211,AMOT,-1,3,1,7,-0.3599987030029297,2.4499988555908203,1.8299980163574219,2.94000244140625,0,0,-34.4709124534109,-8.154784915679148
212,AMOV,-1,-2,-2,-5,-0.04000091552734375,-1.1299991607666016,-1.480001449584961,-1.7700023651123047,0,0,-34.4709124534109,-8.154784915679148
213,AMP,-1,3,3,0,-1.790008544921875,12.92999267578125,11.809967041015625,-6.82000732421875,0,0,-34.4709124534109,-8.154784915679148
214,AMPE,-1,2,2,-1,-0.01000000536441803,0.02000001072883606,0.02000001072883606,-0.03999999165534973,0,0,-34.4709124534109,-8.154784915679148
215,AMPH,-1,-1,1,8,-0.13000106811523438,-0.6300010681152344,0.720001220703125,-3.099994659423828,0,0,-34.4709124534109,-8.154784915679148
216,AMPY,-1,1,3,-5,-0.25,0.13000011444091797,0.5999999046325684,-2.02000093460083,0,0,-34.4709124534109,-8.154784915679148
217,AMRC,-1,3,3,2,-2.490001678466797,2.8799972534179688,3.4799957275390625,-1.30999755859375,0,0,-34.4709124534109,-8.154784915679148
218,AMRK,-1,-1,1,4,-1.25,0.04000091552734375,1.0400009155273438,-1.4300079345703125,0,0,-34.4709124534109,-8.154784915679148
219,AMRN,-1,-1,-1,3,-0.060000061988830566,-0.01999986171722412,-0.14999985694885254,-0.32999980449676514,0,0,-34.4709124534109,-8.154784915679148
220,AMRS,-1,3,1,1,-0.36000001430511475,0.46000003814697266,0.07999992370605469,-0.25,0,0,-34.4709124534109,-8.154784915679148
